"ANO4","TRIMESTRE","REGION","AGLOMERADO","CODUSU","NRO_HOGAR","COMPONENTE","CH03","CH04","CH06","ESTADO","CAT_OCUP","P21","precario_ingreso_num","precario_jornada_num","precario_contrato_num","num_dimensiones","indice_precariedad_cat","EMPLEO","SECTOR","PONDERA","PONDIIO","NIVEL_ED","caes_eph_label","CALIFICACION","PP04D_COD"
2023,1,44,91,"TQRMNOQSXHMOKRCDEOHCH00803177",1,1,1,2,30,1,3,130000,0,0,0,0,"Ninguna",NA,NA,134,124,4,"Administracion publica, defensa y seguridad social","Técnicos","20332"
2023,1,44,91,"TQRMNOQSXHMOKRCDEOHCH00803177",1,2,2,1,32,1,3,160000,0,0,1,1,"Baja",NA,NA,134,129,4,"Comercio","Operativos","30313"
2023,1,44,91,"TQRMNOQYTHMNKSCDEOHCH00803178",1,1,1,1,45,1,3,50000,1,1,1,3,"Alta",NA,NA,120,128,3,"Administracion publica, defensa y seguridad social","Operativos","72323"
2023,1,44,91,"TQRMNOQYTHMNKSCDEOHCH00803178",1,2,2,2,37,1,3,15000,1,0,1,2,"Media",NA,NA,120,127,3,"Servicio domestico","No calificados","55314"
2023,1,43,38,"TQRMNOPYXHLMKNCDEIOAH00720098",1,1,1,1,35,1,3,250000,0,1,0,1,"Baja",NA,NA,83,95,4,"Industria manufacturera","Operativos","90313"
2023,1,43,38,"TQRMNOQTTHMNKPCDEIOAH00803054",1,1,1,1,28,1,3,150000,0,0,0,0,"Ninguna",NA,NA,142,191,5,"Servicios financieros, de alquiler y empresariales","Operativos","47313"
2023,1,43,38,"TQRMNOSRPHLMKOCDEIOAH00720100",1,1,1,1,36,1,3,80000,1,0,0,1,"Baja",NA,NA,81,94,2,"Transporte, almacenamiento y comunicaciones","Operativos","36313"
2023,1,43,38,"TQRMNOSRPHLMKOCDEIOAH00720100",1,2,2,2,36,1,3,16800,1,0,1,2,"Media",NA,NA,81,106,4,"Servicio domestico","No calificados","55314"
2023,1,43,38,"TQRMNOQUYHKMKQCDEIOAH00781302",1,1,1,1,46,1,2,100000,0,1,1,2,"Media",NA,NA,24,32,2,"Servicios financieros, de alquiler y empresariales","Operativos","58123"
2023,1,43,30,"TQRMNOQYXHLNKNCDEIGED00717931",1,1,1,2,43,1,3,100000,0,0,0,0,"Ninguna",NA,NA,101,101,4,"Administracion publica, defensa y seguridad social","Operativos","10333"
2023,1,41,15,"TQRMNORWRHKOKPCDEGLDF00777944",1,1,1,2,38,1,3,180000,0,0,0,0,"Ninguna",NA,NA,202,202,4,"Administracion publica, defensa y seguridad social","Operativos","10333"
2023,1,41,15,"TQRMNORWRHKOKPCDEGLDF00777944",1,2,2,1,39,1,1,-9,NA,1,0,1,"Baja",NA,NA,202,0,3,"Comercio","Técnicos","05002"
2023,1,41,15,"TQRMNOPRUHJMKSCDEGLDF00795651",2,1,1,2,23,1,3,-9,NA,0,1,1,"Baja",NA,NA,125,0,4,"Servicio domestico","No calificados","57314"
2023,1,41,15,"TQRMNOPRUHJMKSCDEGLDF00795651",2,2,9,2,26,1,3,80000,1,1,1,3,"Alta",NA,NA,125,132,4,"Comercio","No calificados","32314"
2023,1,41,15,"TQRMNOPRVHJMKSCDEGLDF00800090",1,1,1,1,56,1,3,90000,0,0,1,1,"Baja",NA,NA,159,163,5,"Construccion","Operativos","72313"
2023,1,41,15,"TQRMNOPSWHMMKUCDEGLDF00800091",1,1,1,1,56,1,3,57000,1,0,1,2,"Media",NA,NA,146,150,6,"Otros servicios comunitarios, sociales y personales","Técnicos","51312"
2023,1,44,93,"TQRMNOQUQHLOKPCDEOJAH00720380",1,2,3,1,42,1,3,186000,0,0,0,0,"Ninguna",NA,NA,82,118,4,"Administracion publica, defensa y seguridad social","Operativos","48313"
2023,1,44,20,"TQRMNOPSWHJMKNCDEHGHJ00796976",1,2,2,1,36,1,3,-9,NA,0,0,0,"Ninguna",NA,NA,208,0,3,"Transporte, almacenamiento y comunicaciones","Operativos","10333"
2023,1,44,20,"TQRMNOQRUHLLKQCDEHGHJ00717010",1,1,1,2,64,1,3,100000,0,1,0,1,"Baja",NA,NA,76,89,6,"Otros servicios comunitarios, sociales y personales","Profesionales","42331"
2023,1,44,20,"TQRMNOQTSHLNKRCDEHGHJ00716992",1,1,1,2,36,1,3,58000,1,0,0,1,"Baja",NA,NA,164,183,2,"Administracion publica, defensa y seguridad social","No calificados","56314"
2023,1,43,2,"TQRMNORVRHMMMLCDEFIAH00798339",1,1,1,1,46,1,3,150000,0,0,0,0,"Ninguna",NA,NA,920,1229,5,"Otras ramas","Operativos","10333"
2023,1,43,2,"TQRMNORVRHMMMLCDEFIAH00798339",1,2,2,2,46,1,2,70000,1,0,1,2,"Media",NA,NA,920,2168,4,"Comercio","Operativos","30133"
2023,1,43,2,"TQRMNORPPHKOMMCDEFIAH00775703",1,2,2,1,38,1,3,-9,NA,1,0,1,"Baja",NA,NA,738,0,4,"Hoteles y restaurantes","Operativos","47313"
2023,1,43,2,"TQRMNORPPHKOMMCDEFIAH00775703",1,4,8,2,35,1,3,-9,NA,1,1,2,"Media",NA,NA,738,0,4,"Comercio","Operativos","20313"
2023,1,43,2,"TQRMNORPWHKOMMCDEFIAH00775786",1,1,1,1,27,1,3,-9,NA,1,0,1,"Baja",NA,NA,470,0,4,"Administracion publica, defensa y seguridad social","Operativos","10333"
