"ANO4","TRIMESTRE","REGION","AGLOMERADO","CODUSU","NRO_HOGAR","COMPONENTE","CH03","CH04","CH06","ESTADO","CAT_OCUP","P21","precario_ingreso_num","precario_jornada_num","precario_contrato_num","num_dimensiones","indice_precariedad_cat","EMPLEO","SECTOR","PONDERA","PONDIIO","NIVEL_ED","caes_eph_label","CALIFICACION","PP04D_COD"
2020,1,40,18,"TQSMNOQRQHLMLPCDEGOIH00654347",1,1,1,1,29,1,2,15000,1,1,1,3,"Alta",NA,NA,182,180,3,"Construccion","Operativos","72113"
2020,1,40,18,"TQRMNORXXHMKKSCDEGOIH00631031",1,1,1,1,46,1,2,70000,0,1,0,1,"Baja",NA,NA,261,267,6,"Servicios sociales y de salud","Profesionales","40111"
2020,1,40,18,"TQRMNORXVHJOLOCDEGOIH00625027",1,3,3,1,34,1,3,10000,1,0,1,2,"Media",NA,NA,220,219,3,"Construccion","No calificados","72314"
2020,1,40,18,"TQRMNORXVHJOLOCDEGOIH00625027",1,4,3,1,36,1,3,12000,1,1,1,3,"Alta",NA,NA,220,220,4,"Construccion","No calificados","72314"
2020,1,40,18,"TQRMNOPSXHJOLPCDEGOIH00625009",1,4,1,1,23,1,3,10000,1,0,1,2,"Media",NA,NA,230,228,7,"Industria manufacturera","No calificados","72314"
2020,1,40,18,"TQRMNOPSXHJOLPCDEGOIH00625009",1,5,8,1,29,1,2,10000,1,0,1,2,"Media",NA,NA,230,229,7,"Construccion","Operativos","72113"
2020,1,40,18,"TQRMNOPWRHJOLQCDEGOIH00624965",1,3,3,2,23,1,2,10000,1,1,1,3,"Alta",NA,NA,214,215,4,"Comercio","Operativos","30113"
2020,1,40,18,"TQRMNOPVTHKOKPCDEGOIH00654370",1,3,3,2,31,1,3,0,1,1,1,3,"Alta",NA,NA,225,225,2,"Servicio domestico","No calificados","55314"
2020,1,40,18,"TQRMNOPVTHKOKPCDEGOIH00654370",1,4,3,1,23,1,3,12000,1,1,1,3,"Alta",NA,NA,225,225,3,"Construccion","No calificados","72314"
2020,1,40,18,"TQRMNOUQTHKOKPCDEGOIH00654371",1,1,1,1,36,1,3,18000,1,0,1,2,"Media",NA,NA,225,223,2,"Construccion","No calificados","72314"
2020,1,40,18,"TQRMNOXWYHLOKRCDEGOIH00648900",1,1,1,1,44,1,2,12000,1,0,1,2,"Media",NA,NA,1024,1014,3,"Construccion","Operativos","72113"
2020,1,41,15,"TQRMNOQPQHMOKOCDEGLDF00630765",1,1,1,2,43,1,3,25000,0,1,0,1,"Baja",NA,NA,164,193,6,"Ensenanza","Técnicos","41312"
2020,1,41,15,"TQRMNOQPQHMOKOCDEGLDF00630765",1,2,2,1,37,1,3,18000,1,1,1,3,"Alta",NA,NA,164,187,4,"Otros servicios comunitarios, sociales y personales","Técnicos","92332"
2020,1,41,15,"TQRMNOQRQHKKKMCDEGLDF00654050",1,1,1,1,34,1,2,40000,0,1,0,1,"Baja",NA,NA,203,215,6,"Servicios financieros, de alquiler y empresariales","Profesionales","20131"
2020,1,41,15,"TQRMNOSUUHKMKOCDEGLDF00654052",1,1,1,1,35,1,3,30000,0,0,0,0,"Ninguna",NA,NA,210,219,4,"Servicios sociales y de salud","Operativos","10333"
2020,1,41,15,"TQRMNOPPQHLNLQCDEGLDF00648617",1,5,4,1,23,1,3,5000,1,1,1,3,"Alta",NA,NA,162,174,2,"Comercio","No calificados","82314"
2020,1,41,15,"TQRMNOPUQHJNLOCDEGLDF00624713",2,1,1,1,29,1,2,16000,1,1,1,3,"Alta",NA,NA,170,182,3,"Comercio","Operativos","82113"
2020,1,41,15,"TQRMNOPUTHJNLOCDEGLDF00624714",1,2,1,2,29,1,3,7000,1,0,1,2,"Media",NA,NA,170,187,5,"Servicio domestico","No calificados","55314"
2020,1,41,15,"TQRMNORSVHMOKOCDEGLDF00654070",1,2,2,2,51,1,3,-9,NA,0,1,1,"Baja",NA,NA,164,0,4,"Otros servicios comunitarios, sociales y personales","Operativos","57313"
2020,1,41,15,"TQRMNOQTQHKLKTCDEGLDF00654071",1,1,1,1,33,1,3,-9,NA,0,0,0,"Ninguna",NA,NA,159,0,6,"Administracion publica, defensa y seguridad social","Operativos","10333"
2020,1,41,15,"TQRMNORSXHLOKUCDEGLDF00648650",1,1,1,1,56,1,2,30000,0,1,1,2,"Media",NA,NA,170,176,2,"Comercio","Operativos","30113"
2020,1,41,15,"TQRMNOPWQHMKLLCDEGLDF00654072",1,1,1,2,47,1,2,12000,1,0,1,2,"Media",NA,NA,212,238,4,"Ensenanza","Operativos","10133"
2020,1,41,15,"TQRMNOPWQHMKLLCDEGLDF00654072",1,2,3,2,32,1,2,12000,1,0,1,2,"Media",NA,NA,212,245,5,"Ensenanza","Técnicos","41112"
2020,1,41,15,"TQRMNOTXYHKOLQCDEGLDF00654104",1,2,2,2,52,1,3,10000,1,0,1,2,"Media",NA,NA,174,190,4,"Servicio domestico","No calificados","55314"
2020,1,41,15,"TQRMNOPUPHJNLOCDEGLDF00624674",1,1,1,1,60,1,3,19000,1,1,0,2,"Media",NA,NA,170,196,3,"Construccion","Operativos","72313"
2020,1,41,15,"TQRMNOPUPHJOLQCDEGLDF00624687",1,1,1,1,39,1,3,28000,0,0,0,0,"Ninguna",NA,NA,205,227,5,"Comercio","Operativos","30313"
2020,1,41,15,"TQRMNOSSTHLMKMCDEGLDF00648573",2,1,1,1,28,1,2,12000,1,1,1,3,"Alta",NA,NA,179,174,4,"Servicio domestico","Operativos","58113"
2020,1,41,15,"TQRMNOSRQHMLKNCDEGLDF00636730",1,1,1,1,51,1,3,30000,0,1,0,1,"Baja",NA,NA,138,150,6,"Administracion publica, defensa y seguridad social","Profesionales","43331"
2020,1,41,15,"TQRMNOPTWHMOLMCDEGLDF00654126",1,1,1,2,50,1,2,20000,1,1,1,3,"Alta",NA,NA,168,183,2,"Comercio","Operativos","30113"
2020,1,41,15,"TQRMNOPTWHMOLMCDEGLDF00654126",1,2,2,1,55,1,2,10000,1,1,1,3,"Alta",NA,NA,168,178,2,"Comercio","Operativos","30113"
2020,1,41,15,"TQRMNOPTWHMNLNCDEGLDF00630823",1,1,1,1,32,1,3,20000,1,1,1,3,"Alta",NA,NA,193,202,3,"Actividades primarias","Operativos","61313"
2020,1,44,17,"TQRMNORSQHKOKPCDEGNFJ00654144",1,1,1,2,53,1,3,16000,1,0,0,1,"Baja",NA,NA,246,250,2,"Servicio domestico","No calificados","55314"
2020,1,44,17,"TQRMNORRVHMMKMCDEGNFJ00630967",1,1,1,1,45,1,2,20000,1,0,1,2,"Media",NA,NA,358,394,6,"Construccion","Operativos","72113"
2020,1,44,17,"TQRMNORRVHMMKMCDEGNFJ00630967",1,2,2,2,46,1,2,7000,1,1,1,3,"Alta",NA,NA,358,419,6,"Industria manufacturera","Operativos","80123"
2020,1,44,17,"TQRMNORVXHMLKOCDEGNFJ00636845",1,1,1,1,37,1,3,100000,0,0,0,0,"Ninguna",NA,NA,410,404,6,"Actividades primarias","Operativos","44333"
2020,1,44,17,"TQRMNORVXHMLKOCDEGNFJ00636845",1,2,2,2,27,1,3,70000,0,0,0,0,"Ninguna",NA,NA,410,419,6,"Actividades primarias","Operativos","20333"
2020,1,44,17,"TQRMNOQQXHMOKRCDEGNFJ00630944",1,1,1,1,45,1,3,29000,0,0,0,0,"Ninguna",NA,NA,334,343,4,"Comercio","Operativos","34323"
2020,1,44,17,"TQRMNOPSPHKOKPCDEGNFJ00654178",1,1,1,1,56,1,3,40000,0,0,0,0,"Ninguna",NA,NA,246,253,3,"Comercio","Operativos","82313"
2020,1,44,17,"TQRMNOPSPHKOKPCDEGNFJ00654178",1,2,3,1,21,1,3,4000,1,0,1,2,"Media",NA,NA,246,260,3,"Construccion","No calificados","72314"
2020,1,44,17,"TQRMNOQUXHKOKQCDEGNFJ00654179",1,1,1,1,58,1,3,90000,0,0,0,0,"Ninguna",NA,NA,255,262,2,"Administracion publica, defensa y seguridad social","Técnicos","11202"
2020,1,44,17,"TQRMNOQUXHKOKQCDEGNFJ00654179",1,3,3,2,27,1,3,27000,0,0,0,0,"Ninguna",NA,NA,255,271,4,"Servicios financieros, de alquiler y empresariales","No calificados","56314"
2020,1,44,17,"TQRMNORWYHMOKSCDEGNFJ00630974",1,2,2,2,59,1,3,40000,0,0,1,1,"Baja",NA,NA,269,291,3,"Administracion publica, defensa y seguridad social","Técnicos","41312"
2020,1,44,17,"TQRMNOPQXHMOKTCDEGNFJ00654180",1,1,1,2,63,1,2,15000,1,0,1,2,"Media",NA,NA,265,270,2,"Otros servicios comunitarios, sociales y personales","Operativos","57113"
2020,1,44,17,"TQRMNOPQXHMOKTCDEGNFJ00654180",1,2,2,1,59,1,3,50000,0,1,0,1,"Baja",NA,NA,265,281,3,"Comercio","Profesionales","06001"
2020,1,44,17,"TQRMNOQTSHMNKUCDEGNFJ00636903",1,1,1,2,49,1,3,10000,1,0,1,2,"Media",NA,NA,373,374,3,"Servicio domestico","No calificados","55314"
2020,1,44,17,"TQRMNOSVQHMMKNCDEGNFJ00631000",1,2,2,2,52,1,2,25000,0,0,1,1,"Baja",NA,NA,326,372,6,"Comercio","Operativos","30113"
