"ANO4","TRIMESTRE","REGION","AGLOMERADO","CODUSU","NRO_HOGAR","COMPONENTE","CH03","CH04","CH06","ESTADO","CAT_OCUP","P21","precario_ingreso_num","precario_jornada_num","precario_contrato_num","num_dimensiones","indice_precariedad_cat","EMPLEO","SECTOR","PONDERA","PONDIIO","NIVEL_ED","caes_eph_label","CALIFICACION","PP04D_COD"
2024,1,43,34,"TQRMNOSQYHJMLPCDEIKAH00793199",1,1,1,1,68,1,2,150000,1,1,1,3,"Alta",2,2,648,956,2,"Construccion","Operativos","72113"
2024,1,40,23,"TQRMNOTQRHJMLOCDEHJGH00794657",1,1,1,2,41,1,2,250000,1,0,1,2,"Media",2,2,252,256,4,"Otros servicios comunitarios, sociales y personales","Operativos","57113"
2024,1,40,23,"TQRMNOTQRHJMLOCDEHJGH00794657",1,2,2,1,42,1,3,650000,0,1,0,1,"Baja",1,1,252,255,6,"Comercio","Operativos","32333"
2024,1,43,34,"TQRMNORWQHJMKPCDEIKAH00794680",1,1,1,1,29,1,3,280000,1,1,0,2,"Media",1,1,513,817,5,"Servicios sociales y de salud","Operativos","47333"
2024,1,40,19,"TQRMNORXSHJMLQCDEGPDJ00794708",1,2,3,2,31,1,2,50000,1,1,1,3,"Alta",2,2,193,193,4,"Otros servicios comunitarios, sociales y personales","Operativos","57113"
2024,1,40,19,"TQRMNORXSHJMLQCDEGPDJ00794708",1,3,4,1,33,1,3,300000,1,0,0,1,"Baja",1,1,193,193,3,"Comercio","Operativos","82313"
2024,1,40,25,"TQRMNOQYUHJLKQCDEHLEH00794723",1,2,2,2,63,1,2,250000,1,1,0,2,"Media",1,1,172,233,6,"Servicios financieros, de alquiler y empresariales","Profesionales","20131"
2024,1,40,25,"TQRMNOQYUHJLKQCDEHLEH00794723",1,1,1,1,61,1,3,-9,NA,0,0,0,"Ninguna",1,1,172,0,5,"Transporte, almacenamiento y comunicaciones","Profesionales","05001"
2024,1,40,25,"TQRMNOQYUHJLKQCDEHLEH00794723",1,3,3,1,25,1,3,180000,1,0,0,1,"Baja",1,1,172,229,5,"Transporte, almacenamiento y comunicaciones","No calificados","36314"
2024,1,44,20,"TQRMNORWUHJKKSCDEHGHJ00794732",1,1,1,1,51,1,1,-9,NA,0,0,0,"Ninguna",1,1,215,0,4,"Hoteles y restaurantes","Profesionales","06001"
2024,1,44,20,"TQRMNORWUHJKKSCDEHGHJ00794732",1,2,2,2,44,1,4,0,1,0,1,2,"Media",2,1,215,215,4,"Hoteles y restaurantes","Operativos","30333"
2024,1,44,31,"TQRMNOPPWHJMKPCDEIHJF00794752",1,3,3,2,45,1,3,400000,0,0,0,0,"Ninguna",1,1,136,141,6,"Ensenanza","Técnicos","41332"
2024,1,40,19,"TQRMNORSQHJLLNCDEGPDJ00794758",1,1,1,1,36,1,3,350000,1,0,0,1,"Baja",1,1,233,233,4,"Administracion publica, defensa y seguridad social","Operativos","41313"
2024,1,40,19,"TQRMNORSQHJLLNCDEGPDJ00794758",1,2,2,2,38,1,3,300000,1,1,0,2,"Media",1,1,233,233,4,"Administracion publica, defensa y seguridad social","Operativos","10333"
2024,1,1,33,"TQRMNOPRYHJNLUCDEIJAH00796094",1,1,1,2,38,1,3,400000,0,1,1,2,"Media",2,3,2564,3004,3,"Servicio domestico","Operativos","57313"
2024,1,40,29,"TQRMNOSRUHJOMLCDEHPJB00796113",1,3,3,1,24,1,3,80000,1,1,1,3,"Alta",2,1,457,488,5,"Otros servicios comunitarios, sociales y personales","Técnicos","51312"
2024,1,40,29,"TQRMNOSRUHJOMLCDEHPJB00796113",1,2,2,2,42,1,3,220000,1,1,0,2,"Media",1,1,457,506,6,"Servicios sociales y de salud","Técnicos","40312"
2024,1,40,29,"TQRMNOSRUHJOMLCDEHPJB00796113",1,1,1,1,48,1,3,160000,1,0,1,2,"Media",2,2,457,487,3,"Construccion","Operativos","72313"
2024,1,40,22,"TQRMNOPSWHJOLMCDEHIBB00796139",1,3,3,1,32,1,3,48000,1,0,1,2,"Media",2,1,198,205,4,"Construccion","No calificados","72314"
