"ANO4","TRIMESTRE","REGION","AGLOMERADO","CODUSU","NRO_HOGAR","COMPONENTE","CH03","CH04","CH06","ESTADO","CAT_OCUP","P21","precario_ingreso_num","precario_jornada_num","precario_contrato_num","num_dimensiones","indice_precariedad_cat","EMPLEO","SECTOR","PONDERA","PONDIIO","NIVEL_ED","caes_eph_label","CALIFICACION","PP04D_COD"
2022,1,43,14,"TQRMNOQXQHLOKQCDEGKDB00777573",1,2,2,2,42,1,3,150000,0,1,0,1,"Baja",NA,NA,104,144,6,"Administracion publica, defensa y seguridad social","Profesionales","48311"
2022,1,43,14,"TQRMNOQXQHLOKQCDEGKDB00777573",1,3,3,2,19,1,3,10000,1,0,1,2,"Media",NA,NA,104,141,5,"Comercio","Operativos","30333"
2022,1,1,33,"TQRMNOSUPHKKPQCDEIJAH00780151",1,1,1,2,67,1,2,-9,NA,1,1,2,"Media",NA,NA,1741,0,6,"Industria manufacturera","Operativos","80113"
2022,1,1,33,"TQRMNOSUPHKKPQCDEIJAH00780151",1,3,3,2,34,1,3,-9,NA,1,0,1,"Baja",NA,NA,1741,0,6,"Industria manufacturera","Operativos","20333"
2022,1,43,30,"TQRMNORUSHKLLNCDEIGED00779493",1,1,1,1,52,1,3,80000,0,0,0,0,"Ninguna",NA,NA,221,265,6,"Ensenanza","Técnicos","41332"
2022,1,44,31,"TQRMNOQXYHLOKNCDEIHJF00718136",1,1,1,1,56,1,3,120000,0,0,0,0,"Ninguna",NA,NA,246,249,4,"Administracion publica, defensa y seguridad social","Profesionales","03001"
2022,1,44,31,"TQRMNOQXYHLOKNCDEIHJF00718136",1,3,3,1,26,1,3,0,1,0,1,2,"Media",NA,NA,246,246,6,"Servicios financieros, de alquiler y empresariales","Técnicos","80332"
2022,1,44,31,"TQRMNOSXYHLOKNCDEIHJF00779633",1,1,1,1,65,1,3,154000,0,0,0,0,"Ninguna",NA,NA,107,108,4,"Servicios financieros, de alquiler y empresariales","Profesionales","42331"
2022,1,43,13,"TQRMNOPQYHMNLMCDEGJBF00701857",1,4,4,1,30,1,3,0,1,0,1,2,"Media",NA,NA,664,664,3,"Construccion","No calificados","72314"
2022,1,43,13,"TQRMNOPTSHMNLMCDEGJBF00701858",1,1,1,1,47,1,2,4000,1,0,1,2,"Media",NA,NA,577,559,3,"Comercio","No calificados","33114"
2022,1,43,13,"TQRMNOPTSHMNLMCDEGJBF00701858",1,2,2,2,45,1,2,4000,1,0,1,2,"Media",NA,NA,577,592,3,"Hoteles y restaurantes","No calificados","33114"
2022,1,43,13,"TQRMNOQSSHKNKRCDEGJBF00777344",1,2,2,1,65,1,2,45000,1,0,1,2,"Media",NA,NA,503,521,6,"Otros servicios comunitarios, sociales y personales","Operativos","82113"
2022,1,43,13,"TQRMNORWXHKLKTCDEGJBF00777345",1,1,1,2,61,1,2,30000,1,0,1,2,"Media",NA,NA,836,850,6,"Construccion","Operativos","10133"
